"Tract","Walker","Pass","Distance","Sherds","Other","Bags"
1128,1,1,40,15,0,2
1128,3,1,100,25,0,3
1128,4,1,100,5,0,1
1128,5,1,75,21,0,1
1128,7,1,100,11,0,0
1129,1,1,35,20,0,1
1129,3,1,25,4,0,1
1129,4,1,30,0,0,0
1129,5,1,44,26,0,0
1130,7,1,15,11,0,0
1130,7,2,20,1,0,0
1131,3,1,100,18,0,2
1131,4,1,100,3,0,0
1131,5,1,100,27,0,2
1131,7,1,100,0,0,0
1132,3,1,100,0,0,0
1132,4,1,31,14,0,0
1132,5,1,61,3,0,0
1132,7,1,5,1,0,0
1133,1,1,100,7,0,0
1133,3,1,100,2,0,0
1133,4,1,100,14,0,1
1133,5,1,100,13,0,0
1133,7,1,100,3,0,0
1134,1,1,100,4,0,0
1134,3,1,100,6,0,2
1134,4,1,100,1,0,0
1134,5,1,100,1,0,0
1134,7,1,100,0,0,0
1135,1,1,100,0,0,0
1135,3,1,100,0,0,0
1135,4,1,100,0,0,0
1135,5,1,100,0,0,0
1135,7,1,100,0,0,0
1136,1,1,55,0,0,0
1136,3,1,40,7,0,0
1136,4,1,100,0,0,0
1136,5,1,39,13,0,0
1136,7,1,100,0,0,0
1137,7,1,30,0,0,0
1138,1,1,45,0,0,0
1138,3,1,100,1,0,0
1138,4,1,27,1,0,0
1138,5,1,100,0,0,0
1138,7,1,10,1,0,0
1139,3,1,70,0,0,0
1140,7,1,40,0,0,0
1141,3,1,100,0,0,0
1141,5,1,100,0,0,0
1141,7,1,100,2,0,0
1142,3,1,100,0,0,0
1142,5,1,10,0,0,0
1143,3,1,70,2,0,0
1144,1,1,100,2,0,0
1144,3,1,100,3,0,0
1144,4,1,100,0,0,0
1144,5,1,100,5,0,1
1144,7,1,100,1,0,0
1145,1,1,100,2,0,0
1145,3,1,100,12,0,1
1145,4,1,100,6,0,0
1145,5,1,100,2,0,1
1145,7,1,100,0,0,0
1146,1,1,100,2,0,0
1146,3,1,100,0,0,0
1146,4,1,100,0,0,0
1146,5,1,100,6,0,1
1146,7,1,100,0,0,0
1147,1,1,100,0,0,0
1147,3,1,100,0,0,0
1147,4,1,100,0,0,0
1147,5,1,100,0,0,0
1147,7,1,100,0,2,0
1148,1,1,100,0,0,0
1148,3,1,100,0,0,0
1148,4,1,100,0,0,0
1148,5,1,100,0,0,0
1148,7,1,45,0,0,0
1149,1,1,100,0,0,0
1149,3,1,100,0,0,0
1149,4,1,100,0,0,0
1149,5,1,100,0,0,0
1150,1,1,67,4,0,0
1150,3,1,100,0,0,0
1150,4,1,65,0,0,0
1150,5,1,91,1,0,0
1150,7,1,25,0,0,0
2001,9,1,85,23,0,1
2001,12,1,82,0,0,0
2001,13,1,77,0,0,0
2002,2,1,100,32,0,1
2002,8,1,62,6,0,1
2002,11,1,60,23,0,1
2002,13,1,34,2,0,1
2003,8,1,14,26,0,2
2003,11,1,20,2,0,0
2003,12,1,20,7,0,0
2003,13,1,12,15,0,0
2004,2,1,55,12,0,2
2005,2,1,95,42,0,3
2005,9,1,90,18,0,1
2005,11,1,100,37,0,2
2005,12,1,100,5,0,0
2005,13,1,51,12,0,1
2006,2,1,100,31,0,2
2006,9,1,15,5,0,0
2006,11,1,85,6,0,0
2006,12,1,60,3,0,0
2007,2,1,15,5,0,1
2007,12,1,100,5,0,3
2007,13,1,72,0,0,0
2008,8,1,75,33,0,2
2008,9,1,100,42,0,3
